DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
01/03/2020 12:45	8207	Approach  1 (det:  1-8)	121
01/03/2020 12:50	8207	Approach  1 (det:  1-8)	108
01/03/2020 12:55	8207	Approach  1 (det:  1-8)	84
01/03/2020 13:00	8207	Approach  1 (det:  1-8)	111
01/03/2020 13:05	8207	Approach  1 (det:  1-8)	95
01/03/2020 13:10	8207	Approach  1 (det:  1-8)	87
01/03/2020 13:15	8207	Approach  1 (det:  1-8)	109
01/03/2020 13:20	8207	Approach  1 (det:  1-8)	109
01/03/2020 13:25	8207	Approach  1 (det:  1-8)	101
01/03/2020 13:30	8207	Approach  1 (det:  1-8)	93
01/03/2020 13:35	8207	Approach  1 (det:  1-8)	88
01/03/2020 13:40	8207	Approach  1 (det:  1-8)	108
01/03/2020 13:45	8207	Approach  1 (det:  1-8)	114
01/03/2020 13:50	8207	Approach  1 (det:  1-8)	106
01/03/2020 13:55	8207	Approach  1 (det:  1-8)	105
01/03/2020 14:00	8207	Approach  1 (det:  1-8)	98
01/03/2020 14:05	8207	Approach  1 (det:  1-8)	94
01/03/2020 14:10	8207	Approach  1 (det:  1-8)	102
01/03/2020 14:15	8207	Approach  1 (det:  1-8)	93
01/03/2020 14:20	8207	Approach  1 (det:  1-8)	102
01/03/2020 14:25	8207	Approach  1 (det:  1-8)	103
01/03/2020 14:30	8207	Approach  1 (det:  1-8)	95
01/03/2020 14:35	8207	Approach  1 (det:  1-8)	90
01/03/2020 14:40	8207	Approach  1 (det:  1-8)	110
01/03/2020 14:45	8207	Approach  1 (det:  1-8)	91
01/03/2020 14:50	8207	Approach  1 (det:  1-8)	104
01/03/2020 14:55	8207	Approach  1 (det:  1-8)	86
01/03/2020 15:00	8207	Approach  1 (det:  1-8)	114
01/03/2020 15:05	8207	Approach  1 (det:  1-8)	107
01/03/2020 15:10	8207	Approach  1 (det:  1-8)	113
01/03/2020 15:15	8207	Approach  1 (det:  1-8)	113
01/03/2020 15:20	8207	Approach  1 (det:  1-8)	97
01/03/2020 15:25	8207	Approach  1 (det:  1-8)	95
01/03/2020 15:30	8207	Approach  1 (det:  1-8)	100
01/03/2020 15:35	8207	Approach  1 (det:  1-8)	83
01/03/2020 15:40	8207	Approach  1 (det:  1-8)	84
01/03/2020 15:45	8207	Approach  1 (det:  1-8)	79
01/03/2020 15:50	8207	Approach  1 (det:  1-8)	93
01/03/2020 15:55	8207	Approach  1 (det:  1-8)	84
01/03/2020 16:00	8207	Approach  1 (det:  1-8)	77
01/03/2020 16:05	8207	Approach  1 (det:  1-8)	75
01/03/2020 16:10	8207	Approach  1 (det:  1-8)	91
01/03/2020 16:15	8207	Approach  1 (det:  1-8)	99
01/03/2020 16:20	8207	Approach  1 (det:  1-8)	91
01/03/2020 16:25	8207	Approach  1 (det:  1-8)	106
01/03/2020 16:30	8207	Approach  1 (det:  1-8)	97
01/03/2020 16:35	8207	Approach  1 (det:  1-8)	95
01/03/2020 16:40	8207	Approach  1 (det:  1-8)	81
01/03/2020 16:45	8207	Approach  1 (det:  1-8)	105
